,total,ok,failed,success_rate
A,4000.0,3343.0,657.0,83.58
B,4000.0,3257.0,743.0,81.42
C,4000.0,3178.0,822.0,79.45
D,4000.0,3611.0,389.0,90.28
E,4000.0,3360.0,640.0,84.0
F,4000.0,3935.0,65.0,98.38
G,4000.0,3634.0,366.0,90.85
H,4000.0,3493.0,507.0,87.33
I,4000.0,3457.0,543.0,86.42
J,4000.0,3642.0,358.0,91.05
K,4000.0,3749.0,251.0,93.72
L,4000.0,3600.0,400.0,90.0
M,4000.0,2962.0,1038.0,74.05
N,4000.0,2604.0,1396.0,65.1
O,4000.0,3402.0,598.0,85.05
P,4000.0,3158.0,842.0,78.95
Q,4000.0,3222.0,778.0,80.55
R,4000.0,3640.0,360.0,91.0
S,4000.0,3622.0,378.0,90.55
T,4000.0,3393.0,607.0,84.83
U,4000.0,3555.0,445.0,88.88
V,4000.0,3603.0,397.0,90.08
W,4000.0,3519.0,481.0,87.97
X,4000.0,3272.0,728.0,81.8
Y,4000.0,3632.0,368.0,90.8
Z,4000.0,3468.0,532.0,86.7
space,3000.0,2164.0,836.0,72.13
del,3000.0,2005.0,995.0,66.83
