,total,ok,failed,success_rate
A,4000.0,3371.0,629.0,84.28
B,4000.0,3279.0,721.0,81.97
C,4000.0,3220.0,780.0,80.5
D,4000.0,3638.0,362.0,90.95
E,4000.0,3375.0,625.0,84.38
F,4000.0,3955.0,45.0,98.88
G,4000.0,3633.0,367.0,90.83
H,4000.0,3528.0,472.0,88.2
I,4000.0,3484.0,516.0,87.1
J,4000.0,3660.0,340.0,91.5
K,4000.0,3753.0,247.0,93.83
L,4000.0,3644.0,356.0,91.1
M,4000.0,3153.0,847.0,78.83
N,4000.0,2910.0,1090.0,72.75
O,4000.0,3438.0,562.0,85.95
P,4000.0,3227.0,773.0,80.67
Q,4000.0,3295.0,705.0,82.38
R,4000.0,3678.0,322.0,91.95
S,4000.0,3648.0,352.0,91.2
T,4000.0,3427.0,573.0,85.67
U,4000.0,3564.0,436.0,89.1
V,4000.0,3616.0,384.0,90.4
W,4000.0,3545.0,455.0,88.62
X,4000.0,3307.0,693.0,82.67
Y,4000.0,3657.0,343.0,91.42
Z,4000.0,3517.0,483.0,87.92
space,3000.0,2298.0,702.0,76.6
del,3000.0,2249.0,751.0,74.97
