,total,ok,failed,success_rate
A,300.0,300.0,0.0,100.0
B,300.0,300.0,0.0,100.0
C,300.0,290.0,10.0,96.67
D,300.0,296.0,4.0,98.67
E,300.0,300.0,0.0,100.0
F,300.0,300.0,0.0,100.0
G,300.0,300.0,0.0,100.0
H,300.0,300.0,0.0,100.0
I,300.0,296.0,4.0,98.67
J,300.0,271.0,29.0,90.33
K,300.0,297.0,3.0,99.0
L,300.0,299.0,1.0,99.67
M,300.0,298.0,2.0,99.33
N,300.0,287.0,13.0,95.67
O,300.0,299.0,1.0,99.67
P,300.0,277.0,23.0,92.33
Q,300.0,281.0,19.0,93.67
R,300.0,294.0,6.0,98.0
S,300.0,297.0,3.0,99.0
T,300.0,300.0,0.0,100.0
U,300.0,296.0,4.0,98.67
V,300.0,299.0,1.0,99.67
W,300.0,300.0,0.0,100.0
X,300.0,300.0,0.0,100.0
Y,300.0,299.0,1.0,99.67
Z,300.0,296.0,4.0,98.67
